area,year,quarter,count
Mae Hong Son,2020,q3,927
Mae Hong Son,2020,q4,203
Maha Sarakham,2019,q1,77
Maha Sarakham,2019,q2,120
Maha Sarakham,2019,q3,443
Maha Sarakham,2019,q4,141
Maha Sarakham,2020,q1,68
Maha Sarakham,2020,q2,307
Maha Sarakham,2020,q3,501
Maha Sarakham,2020,q4,19
Mukdahan,2019,q1,53
Mukdahan,2019,q2,346
Mukdahan,2019,q3,219
Mukdahan,2019,q4,16
Mukdahan,2020,q1,15
Mukdahan,2020,q2,127
Mukdahan,2020,q3,215
Mukdahan,2020,q4,7
Nakhon Nayok,2019,q1,63
Nakhon Nayok,2019,q2,97
Nakhon Nayok,2019,q3,68
Nakhon Nayok,2019,q4,56
Nakhon Nayok,2020,q1,4
Nakhon Nayok,2020,q2,20
Nakhon Nayok,2020,q3,49
Nakhon Nayok,2020,q4,17
Nakhon Pathom,2019,q1,395
Nakhon Pathom,2019,q2,122
Nakhon Pathom,2019,q3,444
Nakhon Pathom,2019,q4,470
Nakhon Pathom,2020,q1,172
Nakhon Pathom,2020,q2,63
Nakhon Pathom,2020,q3,252
Nakhon Pathom,2020,q4,182
Nakhon Phanom,2019,q1,28
Nakhon Phanom,2019,q2,457
Nakhon Phanom,2019,q3,202
Nakhon Phanom,2019,q4,19
Nakhon Phanom,2020,q1,44
Nakhon Phanom,2020,q2,184
Nakhon Phanom,2020,q3,140
Nakhon Phanom,2020,q4,9
Nakhon Ratchasima,2019,q1,551
Nakhon Ratchasima,2019,q2,2301
Nakhon Ratchasima,2019,q3,2618
Nakhon Ratchasima,2019,q4,1666
Nakhon Ratchasima,2020,q1,497
Nakhon Ratchasima,2020,q2,1474
Nakhon Ratchasima,2020,q3,2320
Nakhon Ratchasima,2020,q4,100
Nakhon Sawan,2019,q1,297
Nakhon Sawan,2019,q2,144
Nakhon Sawan,2019,q3,370
Nakhon Sawan,2019,q4,224
Nakhon Sawan,2020,q1,98
Nakhon Sawan,2020,q2,50
Nakhon Sawan,2020,q3,503
Nakhon Sawan,2020,q4,309
Nakhon Si Thammarat,2019,q1,572
Nakhon Si Thammarat,2019,q2,575
Nakhon Si Thammarat,2019,q3,1203
Nakhon Si Thammarat,2019,q4,743
Nakhon Si Thammarat,2020,q1,254
Nakhon Si Thammarat,2020,q2,173
Nakhon Si Thammarat,2020,q3,247
Nakhon Si Thammarat,2020,q4,48
Nan,2019,q1,13
Nan,2019,q2,103
Nan,2019,q3,176
Nan,2019,q4,73
Nan,2020,q1,10
Nan,2020,q2,90
Nan,2020,q3,101
Nan,2020,q4,22
Narathiwat,2019,q1,73
Narathiwat,2019,q2,107
Narathiwat,2019,q3,270
Narathiwat,2019,q4,171
Narathiwat,2020,q1,50
Narathiwat,2020,q2,19
Narathiwat,2020,q3,95
Narathiwat,2020,q4,36
Nong Bua Lam Phu,2019,q1,14
Nong Bua Lam Phu,2019,q2,88
Nong Bua Lam Phu,2019,q3,127
Nong Bua Lam Phu,2019,q4,39
Nong Bua Lam Phu,2020,q1,20
Nong Bua Lam Phu,2020,q2,67
Nong Bua Lam Phu,2020,q3,60
Nong Bua Lam Phu,2020,q4,1
Nong Khai,2019,q1,37
Nong Khai,2019,q2,134
Nong Khai,2019,q3,256
Nong Khai,2019,q4,101
Nong Khai,2020,q1,27
Nong Khai,2020,q2,151
Nong Khai,2020,q3,234
Nong Khai,2020,q4,10
Nonthaburi,2019,q1,107
Nonthaburi,2019,q2,59
Nonthaburi,2019,q3,294
Nonthaburi,2019,q4,277
Nonthaburi,2020,q1,43
Nonthaburi,2020,q2,36
Nonthaburi,2020,q3,156
Nonthaburi,2020,q4,166
P.Nakhon S.Ayutthaya,2019,q1,78
P.Nakhon S.Ayutthaya,2019,q2,44
P.Nakhon S.Ayutthaya,2019,q3,100
P.Nakhon S.Ayutthaya,2019,q4,95
P.Nakhon S.Ayutthaya,2020,q1,37
P.Nakhon S.Ayutthaya,2020,q2,29
P.Nakhon S.Ayutthaya,2020,q3,162
P.Nakhon S.Ayutthaya,2020,q4,48
Pathum Thani,2019,q1,99
Pathum Thani,2019,q2,36
Pathum Thani,2019,q3,91
Pathum Thani,2019,q4,111
Pathum Thani,2020,q1,26
Pathum Thani,2020,q2,24
Pathum Thani,2020,q3,101
Pathum Thani,2020,q4,61
Pattani,2019,q1,107
Pattani,2019,q2,121
Pattani,2019,q3,214
Pattani,2019,q4,121
Pattani,2020,q1,48
Pattani,2020,q2,31
Pattani,2020,q3,88
Pattani,2020,q4,20
Phangnga,2019,q1,138
Phangnga,2019,q2,248
Phangnga,2019,q3,164
Phangnga,2019,q4,72
Phangnga,2020,q1,47
Phangnga,2020,q2,149
Phangnga,2020,q3,110
Phangnga,2020,q4,21
Phatthalung,2019,q1,76
Phatthalung,2019,q2,145
Phatthalung,2019,q3,188
Phatthalung,2019,q4,0
Phatthalung,2020,q1,0
Phatthalung,2020,q2,0
Phatthalung,2020,q3,0
Phatthalung,2020,q4,0
Phayao,2019,q1,5
Phayao,2019,q2,91
Phayao,2019,q3,187
Phayao,2019,q4,26
Phayao,2020,q1,10
Phayao,2020,q2,53
Phayao,2020,q3,116
Phayao,2020,q4,8
Phetchabun,2019,q1,32
Phetchabun,2019,q2,263
Phetchabun,2019,q3,352
Phetchabun,2019,q4,63
